id_venda,vendedor,valor_bruto,data_venda
101, ana silva ,1500.00,2026-05-01
102,BRUNO SOUZA,850.50,2026-05-01
103,   carla lima,3200.00,2026-05-02
104,Ana Silva,450.00,2026-05-02
105,DANIEL ROCHA,2100.00,2026-05-03
106,bruno souza ,1200.00,2026-05-03
107,Eduarda Melo,980.00,2026-05-04
108,Carla Lima ,4500.00,2026-05-04
109,  felipe alves,310.00,2026-05-05
110,Daniel Rocha,1750.50,2026-05-05
111,Ana Silva ,2300.00,2026-05-06
112,GABRIELA DIAS,890.00,2026-05-06
113,felipe alves ,620.00,2026-05-07
114,Bruno Souza,3100.00,2026-05-07
115,  Eduarda Melo,1150.00,2026-05-08
116,Carla Lima,2700.00,2026-05-08
117,Gabriela Dias ,1950.00,2026-05-09
118,DANIEL ROCHA,500.00,2026-05-09
119,ana silva,1800.00,2026-05-10
120,Felipe Alves,2400.00,2026-05-10
